Crater #,Crater name,Lon,Lat,Diameter,Landslide #,Landslide area
1,Gerasimovich D,237.97,-22.42,22287,1,328781088
2,Cassini A,4.81,40.51,14211,2,53573300
3,Carrel,26.69,10.67,13913,3,38972000
4,Endymion A,62.61,54.59,26359,4-1,35762500
4,Endymion A,62.61,54.59,26359,4-2,53166900
4,Endymion A,62.61,54.59,26359,4-3,89821000
5,Banachiewicz B,80.45,5.27,20918,5,233892400
6,Riemann B,85.62,41.39,23202,6,129484696
7,Dreyer R,94.49,8.49,17004,7,50607100
8,Abul Wafa A,116.86,1.40,13091,8,65140700
9,Unnamed Crater,122.67,14.34,22103,9-1,40324300
9,Unnamed Crater,122.67,14.34,22103,9-2,72396860
9,Unnamed Crater,122.67,14.34,22103,9-3,85891500
10,Struve H,276.64,25.18,18072,10-1,40876500
10,Struve H,276.64,25.18,18072,10-2,47053500
10,Struve H,276.64,25.18,18072,10-3,50434600
11,Horrebow,319.1,58.81,20518,11,90686700
12,T Mayer C,334.02,12.19,12444,12-1,17862060
12,T Mayer C,334.02,12.19,12444,12-2,28531300
12,T Mayer C,334.02,12.19,12444,12-3,53493000
13,Bode,357.56,6.72,16595,13,49559100
14,Bellot,48.19,-12.48,14969,14-1,14889850
14,Bellot,48.19,-12.48,14969,14-2,33942100
14,Bellot,48.19,-12.48,14969,14-3,50446800
15,Unnamed Crater,145.62,-30.62,11629,15,41223200
16,Van de Graaff F,174.71,-26.77,16465,16,61923500
17,Unnamed Crater,231.00,-28.93,17798,17-1,24198900
17,Unnamed Crater,231.00,-28.93,17798,17-2,43358100
17,Unnamed Crater,231.00,-28.93,17798,17-3,109922300
18,Lucretius U,235.82,-7.80,20784,18,96561200
19,Bouvard B,280.15,-41.70,18273,19,70739100
20,Cleostratus J,276.25,61.40,17511,20-1,15274000
20,Cleostratus J,276.25,61.40,17511,20-2,19799770
20,Cleostratus J,276.25,61.40,17511,20-3,45777300
20,Cleostratus J,276.25,61.40,17511,20-4,61754100
21,Epigenes A,359.63,67.03,15111,21,44207800
22,Schroedinger B,141.44,-68.06,21777,22,197656600
23,Giordano Bruno,102.89,35.97,19432,23,43876900
24,Van de Graaff C,172.81,-26.43,16582,24-1,32808700
24,Van de Graaff C,172.81,-26.43,16582,24-2,51315600
25,Steklov,254.95,-36.72,32395,25-1,96624600
25,Steklov,254.95,-36.72,32395,25-2,234565000
25,Steklov,254.95,-36.72,32395,25-3,249885800
26,Drude,268.12,-38.62,19739,26,253054704
27,Graff A,273.69,-41.23,18689,27-1,31366500
27,Graff A,273.69,-41.23,18689,27-2,135292404
27,Graff A,273.69,-41.23,18689,27-3,124308596
28,Drebbel,310.85,-40.91,27070,28-1,183642800
28,Drebbel,310.85,-40.91,27070,28-2,337383008
29,Moseley C,271.42,22.21,15619,29,61324300
30,Hayford,183.55,12.69,25232,30-1,61344600
30,Hayford,183.55,12.69,25232,30-2,86839000
30,Hayford,183.55,12.69,25232,30-3,108977900
31,Oppenheimer V,187.05,-32.15,30578,31,267207208
32,Chadwick,258.68,-52.88,27683,32,289147008
33,Chicus B,340.63,-33.20,13343,33,21318840
34,Geissler,76.50,-2.59,16619,34,47477300
35,Poincare X,161.17,-53.92,17467,35-1,40161500
35,Poincare X,161.17,-53.92,17467,35-2,61532400
35,Poincare X,161.17,-53.92,17467,35-3,68431100
