Crater #,Lon,Lat,Diameter,Landslide #,Landslide area
1,-175.36,7.29,14010,1,20546356
2,178.96,0.88,16032,2-1,23722750
2,178.96,0.88,16032,2-2,66009116
3,112.84,-9.35,11939,3-1,18596722
3,112.84,-9.35,11939,3-2,29233056
4,50.04,-13.54,12323,4,83399161
5,33.49,11.70,16676,5-1,29994182
5,33.49,11.70,16676,5-2,48299291
5,33.49,11.70,16676,5-3,63096872
5,33.49,11.70,16676,5-4,64442725
6,-160.43,-14.71,12003,6-1,14917071
6,-160.43,-14.71,12003,6-2,26474830
7,-141.77,15.12,19586,7,245506515
8,-146.65,-16.94,14063,8,15732354
9,54.68,17.49,12799,9,42125610
10,-128.25,18.48,10554,10-1,12010512
10,-128.25,18.48,10554,10-2,22972380
11,-168.23,18.65,11153,11-1,13222896
11,-168.23,18.65,11153,11-2,27931783
12,129.94,-23.53,13328,12-1,26030142
12,129.94,-23.53,13328,12-2,38009598
13,-107.1,-23.86,18459,13-1,28013092
13,-107.1,-23.86,18459,13-2,36230995
13,-107.1,-23.86,18459,13-3,142860391
14,-166.19,24.09,12802,14-1,21874772
14,-166.19,24.09,12802,14-2,47429493
15,-76.54,-24.09,12226,15-1,22233336
15,-76.54,-24.09,12226,15-2,38457014
16,-140.58,24.58,9795,16,28575241
17,-97.78,33.83,9971,17-1,25410635
17,-97.78,33.83,9971,17-2,43326956
18,46.23,34.53,12804,18-2,28386611
18,46.23,34.53,12804,18-3,40652808
18,46.23,34.53,12804,18-1,21441057
19,-168.88,35.09,8505,19-1,9068477
19,-168.88,35.09,8505,19-2,10303788
19,-168.88,35.09,8505,19-3,21026379
20,132.61,36.03,14059,20,69028589
21,159.28,38.51,33838,21,172998408
22,-160.85,44.68,13478,22,116859673
23,-51.94,-51.01,11529,23-1,21587890
24,-49.44,-51.56,17730,23-2,64739272
25,-154.19,51.62,8671,24,25604672
26,-129.45,52.27,8378,25,25094689
27,-146.76,53.51,20489,26-1,42849556
27,-146.76,53.51,20489,26-2,74507971
28,-176.78,-55.71,13029,27-1,20401881
28,-176.78,-55.71,13029,27-2,22026779
29,-135.65,57.57,17149,28,64971635
30,163.72,58.46,11125,29,34980469
31,-134.79,60.36,18521,30,73354039
32,94.79,60.61,6768,31,13736467
33,63.91,66.07,11112,32-1,53028019
34,61.53,67.16,23029,32-2,133630300
35,-95.95,67.61,9491,33-1,16568625
36,-100.36,67.98,8072,33-2,22226056
37,-110.87,71.23,13334,34,36869087
38,120.36,76.06,14488,35,78786308
